,question
167,Does the ping-pong ball bounce 17 times on the ground before entering the cup?
168,Does the ping-pong ball bounce 15 times on the ground as it descends the stairs?
169,"How many times does the ping-pong ball bounce on the ground before entering the cup?
A. 13
B. 10
C. 19
D. 17"
170,Which hand did the man use to throw away his hat?
171,With which hand did the man discard his hat?
172,Did the man use his left hand to throw away his hat after failing to score?
173,Did the man use his right hand to throw away his hat?
174,"Which hand did the man use to throw away his hat?
A. Both hands
B. Neither hand
C. Left hand
D. Right hand"
175,Which thumb is the yellow rubber band fully looped around?
176,Around which thumb is the yellow rubber band completely wrapped?
177,Is the yellow rubber band fully looped around the left thumb?
178,Is the yellow rubber band fully looped around the right thumb?
179,"Which thumb is the yellow rubber band fully looped around?
A. Neither thumb
B. Both thumbs
C. Right thumb
D. Left thumb"
180,What is the first person in the video doing?
181,What action is the first person in the video performing?
182,Is the person in the video creating an illusion by laying on the basketball court?
183,Is the person in the video jumping or leaping in the air?
184,"What is the first person in the video doing?
A. Laying down on a basketball court.
B. Sitting on the ground.
C. Jumping in the air.
D. Running across the court."
185,"After solving the Rubik's Cube, which color is facing up?"
186,What color is on the top face of the Rubik's Cube after it is solved?
187,Is the top color of the solved Rubik's Cube white?
188,Is the top color of the solved Rubik's Cube yellow?
189,"What color is facing up on the solved Rubik's Cube?
A. Yellow
B. White
C. Blue
D. Green"
190,How many people appear in the video in total?
191,What is the total number of individuals visible in the video?
192,"Is the total number of people in the video seven, considering the changes in camera angles and dance movements?"
193,"Is the total number of people in the video six, based on the visible individuals in the frames?"
194,"How many people are in the video?
A. Six
B. Eight
C. Seven
D. Five"
195,Is there any video editing effects used to help make the illusion believable?
196,What techniques are used to create the illusion of the pen passing under the cube?
197,Does the illusion rely on video editing effects like masking to make the pen appear to pass under the cube?
198,Is the illusion created solely through skillful drawing and perspective without any video editing?
199,"What techniques are used to create the illusion of the pen passing under the cube?
A. Only skillful drawing and perspective
B. Video editing effects and skillful drawing
C. None of the above
D. Only video editing effects"
200,What color is the writing on the paper in the video?
201,What is the color of the text written on the paper in the video?
202,Is the writing on the paper in the video orange?
203,Is the writing on the paper in the video red?
204,"What color is the writing on the paper in the video?
A. Orange
B. Blue
C. Red
D. Green"
205,Which knife in the video is not easy to use?
206,Which knife in the video is difficult to use?
207,Is the knife with the darker black steel part in the video the one that is not easy to use?
208,Is the lighter silver steel knife the one that is not easy to use?
209,"Which knife is not easy to use in the video?
A. The one with a wooden handle.
B. The one with the darker black part.
C. The one used at the end.
D. The one used to cut through the large bone."
210,What caused the rotational movement of the metal rod?
211,What initiated the rotational movement of the metal rod and how did it continue?
212,Did the initial rotation of the metal rod start because a human plucked it?
213,Was the rotational movement of the metal rod caused solely by the interaction between the electric field and the metal rod?
214,"What caused the rotational movement of the metal rod?
A. The interaction between the electric field and the metal rod.
B. The electromagnetic force generated by the Tesla coil.
C. A human plucking it and electric field forces.
D. The electric current flowing through it"
215,How many vehicles are behind the bus?
216,What is the number of vehicles following the bus?
217,Is there only one vehicle behind the bus after it passes?
218,"Are there two vehicles following the bus, as seen by two sets of headlights?"
219,"How many vehicles are behind the bus?
A. One
B. None
C. Three
D. Two"
220,How many methods did the person holding the yellow bag try?
221,How many techniques did the person with the yellow bag attempt?
222,Did the person with the yellow bag try two methods to pour the contents?
223,Did the person with the yellow bag try three methods to pour the contents?
224,"How many methods did the person with the yellow bag try?
A. Three
B. Two
C. Four
D. One"
225,Why doesn't the man catch the blue pants on his first attempt?
226,What causes the man to miss catching the blue pants on his first try?
227,Is the reason the man misses the blue pants on his first attempt due to a visual illusion?
228,Is the reason the man doesn't catch the blue pants on his first attempt because they are a painted object?
229,"Why doesn't the man catch the blue pants on his first attempt?
A. He is not paying attention.
B. He is distracted by the children playing and loses focus.
C. They are not real pants.
D. They are hanging diagonally."
230,How does the man finally stop cycling?
231,What does the man do to bring his cycling to a halt?
232,Does the man stop cycling by jumping off his bike and crashing into a cushion?
233,Does the man stop cycling by dismounting and walking away?
234,"How does the man finally stop cycling?
A. By riding into a wall.
B. By dismounting and walking away.
C. By jumping off his bike and crashing into a cushion.
D. By slowing down and stepping off."
235,How many layer of paper does the person initially write on?
236,On how many sheets of paper does the person start writing?
237,Does the person initially write on two layers of paper?
238,Does the person initially write on just one layer of paper?
239,"How many layers of paper does the person initially write on?
A. Two
B. Three
C. Four
D. One"
240,What's the first military aircraft doing?
241,What is the initial military aircraft attempting to do?
242,Is the first military aircraft trying to land on an aircraft carrier but initially failing?
243,Is the first military aircraft taking off from the aircraft carrier?
244,"What is the first military aircraft doing?
A. Taking off from the aircraft carrier.
B. Performing aerial maneuvers.
C. Attempting to land on the aircraft carrier.
D. Refueling mid-air."
245,How many compartments do these products occupy on the shelf at the end of the video?
246,How many sections on the shelf are filled with products by the end of the video?
247,Do the products occupy 9 compartments on the shelf at the end of the video?
248,Do the products occupy 10 compartments on the shelf at the end of the video?
249,"How many compartments do the products occupy on the shelf at the end of the video?
A. 8
B. 9
C. 11
D. 10"
250,Where is the ball at the end of the video?
251,What is the final position of the ball in the video?
252,Does the ball end its motion at position C and then be put back into the circular wooden piece by the person at the end of the video?
253,Does the ball end up at position A at the end of the video?
254,"Where does the ball exit at the end of the video?
A. Path A
B. Path B
C. Path D
D. Path C"
255,How does the last person jump?
256,What action does the last person use to jump?
257,Does the last person in the video stand on a pole to jump onto the tire？
258,Does the last person perform a parkour move to jump over a fence?
259,"How does the last person jump?
A. Onto a tire
B. Fly over the railing
C. Over a low wall
D. Over a fence using parkour"
260,What are the group of people engaging in?
261,What activity are the people in the group performing?
262,Are the people in the group filming a video with a hand gesture choreography?
263,"Are the people in the group playing a game of rock, paper, scissors?"
264,"What are the people in the group doing?
A. Filming a video with hand gestures
B. Playing a game
C. Taking a picture together
D. Dancing"
265,How many times does the rider flip and jump in the air while crossing obstacles?
266,How many flips and jumps does the rider perform in the air while navigating the obstacles?
267,Is it true that the rider flipped and jumped eight times while crossing the obstacles?
268,Did the rider flip and jump only three times while crossing the obstacles?
269,"How many times did the rider flip and jump in the air while crossing obstacles?
A. Seven times
B. Eight times
C. Ten times
D. Three times"
270,Which scenes in the video is NOT taken in real life?
271,Which parts of the video are not depicting real-life scenes?
272,Is the scene with the pencil erasing the road a digitally created image?
273,Is the scene in the seventh part of the video not real?
274,"Which scene in the video is not real?
A. Water bottle pouring a waterfall
B. Key fitting into the archway
C. Hanger holding up the bridge
D. Pencil erasing the road"
275,How many drainage channels are there in the video?
276,What is the total number of drainage channels shown in the video?
277,Is it true that there are four drainage channels visible in the video?
278,Are there five drainage channels shown in the video?
279,"How many drainage channels are visible in the video?
A. Four
B. Two
C. Three
D. Five"
280,How does the man in the white T-shirt feel about what he has taken out?
281,What does the man in the white T-shirt feel when he takes out the item?
282,Did the man in the white T-shirt smile wryly and look disappointed as he took out his things?
283,Did the man in the white T-shirt feel satisfied and happy when he took out his things?
284,"What is the person who opens the third hidden item wearing?
A. A black jacket
B. A white texuture T-shirt
C. A white T-shirt
D. A pink t-shirt with green text"
285,Why didn't the woman in white fall on the trampoline?
286,What prevented the woman in white from falling onto the trampoline?
287,Did the woman in white avoid falling on the trampoline because the man behind her didn't push her?
288,Did the woman in white avoid falling on the trampoline because she jumped off herself?
289,"Why didn't the woman in white fall on the trampoline?
A. The man behind her didn't push her.
B. She jumped off herself.
C. She was scared of the trampoline.
D. She was too far from the edge."
290,How many scenarios did the man show between the adult and the toddler?
291,How many different scenarios did the man demonstrate between the adult and the toddler?
292,Did the man show ten scenarios between the adult and the toddler?
293,Did the man show six scenarios between the adult and the toddler?
294,"How many scenarios did the man show between the adult and the toddler?
A. Ten
B. Twelve
C. Six
D. Eight"
295,How many girls are holding swords at the beginning of the video?
296,How many girls are seen with swords at the start of the video?
297,Are there four girls holding swords at the beginning of the video?
298,Are there only three girls holding swords at the beginning of the video?
299,"How many girls are holding swords at the beginning of the video?
A. Three
B. Two
C. Five
D. Four"
300,What action does the girl take at the end of the video?
301,What does the girl do at the conclusion of the video?
302,Does the girl pretend to dunk the basketball by hanging on the basket at the end of the video?
303,Does the girl actually dunk the basketball into the hoop at the end of the video?
304,"What happens at the end of the video?
A. The girl misses the basket entirely.
B. The girl throws the ball from a distance.
C. The girl successfully dunks the basketball.
D. The girl pretends to dunk by hanging on the basket."
305,What was used to perform the magic trick in the first part of the video?
306,How was the magic trick executed in the initial segment of the video?
307,Did the magic trick in the first part of the video involve using a balloon and an extra knot?
308,Was the magic trick in the first part of the video performed by inserting or removing an object from the balloon?
309,"What was used to perform the magic trick in the first part of the video?
A. A balloon and a string
B. A balloon and a coin
C. A red balloon only
D. A balloon and an extra knot"
310,Whose hand is on the woman's shoulder in the second part of the video?
311,Who is the owner of the hand on the woman's shoulder in the second segment of the video?
312,Is the hand on the woman's shoulder in the second part of the video from the man behind her?
313,Is the hand on the woman's shoulder in the second part of the video from the person sitting next to her?
314,"Whose hand is on the woman's shoulder in the second part of the video?
A. The woman herself.
B. The person sitting next to her.
C. A person standing far away.
D. The man behind her."
315,What happened after the sixth cotton candy is dissolved?
316,What is the outcome after the sixth cotton candy dissolves in the water?
317,"After the sixth cotton candy dissolves, does the man find nothing in the bowl?"
318,"After the sixth cotton candy dissolves, is a phone revealed in the bowl?"
319,"What happens after the sixth cotton candy dissolves?
A. A banana appears.
B. A stack of money appears.
C. A phone is revealed.
D. Nothing is found."
320,Why was the man performing the trick surprised？
321,What caused the man performing the trick to be taken aback?
322,Was the man surprised because the ball he placed under the cup disappeared?
323,Was the man surprised because the egg he showed under the cup disappeared and reappeared in unexpected places?
324,"Why was the man performing the trick surprised?
A. The egg reappeared in unexpected places.
B. The table moved.
C. The cup changed color.
D. The ball he placed under the cup disappeared."
325,Why is the person on the left trying hard not to laugh？
326,Why is the person on the left trying hard not to laugh？
327,Is the person on the left trying not to laugh because of the seriousness of the occasion?
328,Is the person on the left trying not to laugh because their problem is unresolved?
329,"Why is the person on the left trying hard not to laugh?
A. It's not funny
B. His discontent
C. The seriousness of the occasion
D. He's scared."
330,"Did the cat win the ""which hand"" guessing game? Why?"
331,"Did the cat succeed in the 'which hand' game, and what was the reason?"
332,Did the cat win the game by choosing the hand that held the object?
333,Did the cat lose the game because it chose the wrong hand?
334,"Why did the cat win the 'which hand' game?
A. It chose the right hand.
B. It chose both hands.
C. It didn't choose any hand.
D. It chose the left hand."
335,How did the man achieve taking out a whole watermelon and cutting it?
336,What method did the man use to make it appear as though he took out and cut a whole watermelon?
337,Did the man use video editing to create the illusion of taking out a whole watermelon?
338,Did the man achieve the trick by hollowing out a watermelon rind and placing a peeled watermelon inside?
339,"How did the man create the illusion of taking out a whole watermelon?
A. By using a mirror to reflect the whole watermelon.
B. By using a clever trick with a hollowed rind.
C. By using a special knife to cut seamlessly.
D. Use mirror reflection and video editing techniques."
340,What causes the damage of the phone？
341,What led to the phone appearing damaged in the video?
342,Was the phone's damage just a result of video editing effects?
343,Did the phone get damaged because it was overcharged with a hand-crank charger?
344,"What was the actual cause of the phone's damage in the video?
A. Dropping the phone.
B. Overcharging with a hand-crank charger.
C. Video editing effects.
D. Water damage."
345,Where are the last few targets come from？
346,What are the last few targets in the video?
347,Are the last few targets in the video bullet casings thrown by the man?
348,Were the last targets in the video thrown by someone next to the shooter?
349,"Where do the last few targets come from?
A. The person next to the shooter throwing orange clay targets.
B. The shell that flew out of the ejection hatch of the gun
C. Random objects thrown by the woman.
D. Black object coming from the sky."
350,Which swings of the man's sword cut the target made of bundled straw mats?
351,Which of the man's sword swings successfully hit the straw mat target?
352,Did the man's first sword swing hit the target made of bundled straw mats?
353,Did the man's sword cut through each section of the straw mat target with every swing?
354,"Which swing of the man's sword hit the target made of bundled straw mats?
A. Fourth swing
B. Third swing
C. First swing
D. Second swing"
355,What does the man light in the video？
356,What item does the man ignite in the video?
357,Does the man light a pile of thin candles in the video?
358,Does the man light a small object that looks like a stack of matches?
359,"What does the man light in the video?
A. A small torch
B. A pile of thin candles
C. A piece of paper
D. A stack of matches"
360,What is the state of action of muscular man's left and right leg throughout the run?
361,What is the condition of the man's legs during running?
362,Is the muscular man actually running or is he staying in the same spot?
363,Does the muscular man's running style involve high knee lifts and a pronounced forward thrust?
364,"What is the state of the muscular man's legs during the run?
A. Both legs moving in a straight line
B. Left leg in spot jogging, right calf bent back
C. Left and right legs alternate in their movement
D. High knee lifts with a forward thrust"
365,What are the characteristics of the left and right legs of a dancing man?
366,Can you describe the condition of the dancer's left and right legs?
367,Is the dancer's left leg disabled while the right leg is healthy?
368,"Does the dancer's left leg show agility and quick movements, while the right leg shows power and strength?"
369,"What are the characteristics of the dancer's legs?
A. Both legs are powerful and strong.
B. Both legs are agile and quick.
C. The left leg is disabled, and the right leg is healthy.
D. The right leg is disabled, and the left leg is healthy."
370,How many nails did the man use in the experiment?
371,What was the total number of nails the man used in his experiment?
372,"Did the man use six nails in the experiment, placing three in each cup?"
373,"Did the man use 14 nails in the experiment, with seven in each mug?"
374,"How many nails did the man use in the experiment?
A. 2.
B. 10
C. 14
D. 6"
375,Which throw conducted by the person did the counter starts counting from?
376,From which throw does the counter begin to count in the video?
377,Does the counter start counting from the second throw made by the man?
378,Does the counter start counting from the throw where the first successful basket is made?
379,"When does the counter start counting?
A. The third throw
B. The second throw .
C. The fourth throw
D. The first throw"
380,How many optical illusion imagery of clever perspective and time freezing are shown in the video in total?
381,What is the total number of images featuring optical illusions in the video?
382,Does the video contain 6 images that are related to optical illusions?
383,Are there 5 optical illusion images shown in the video?
384,"How many optical illusion images are shown in the video?
A. 5
B. 6
C. 4
D. 7"
385,Which person in the video successfully walked down the stairs?
386,"Who was able to walk down the stairs successfully in the video?
"
387,"Did the second person manage to successfully walk down the stairs despite the whirlpool effect?
"
388,"Was the first person able to successfully walk down the stairs despite almost falling?
"
389,"Which person in the video successfully walked down the stairs?
A. The first person
B. The second person
C. None of them
D. Both persons"
390,How many kinds of scissors were used in the video?
391,What is the number of different types of scissors used in the video?
392,Were two kinds of scissors used in the video?
393,Were three kinds of scissors used throughout the video?
394,"How many kinds of scissors were used in the video?
A. Three
B. Four
C. One
D. Two"
395,How many ping-pong balls are in the video?
396,What is the total number of ping-pong balls shown in the video?
397,Are there three ping-pong balls featured in the video?
398,Are there four ping-pong balls in the video?
399,"How many ping-pong balls are in the video?
A. Two
B. Three
C. Four
D. One"
400,How many dumplings does the man in purple have on his plate?
401,What is the number of dumplings on the plate of the man wearing purple?
402,Does the man in purple have 5 soup dumplings on his plate?
403,Does the man in purple have 6 dumplings on his plate?
404,"How many dumplings does the man in purple have on his plate?
A. 6
B. 2
C. 5
D. 10"
405,How many POTS did the ping-pong balls hit at the beginning of the video?
406,How many pots did the ping-pong ball bounce off at the start of the video?
407,Did the ping-pong ball hit seven pots at the beginning of the video?
408,Did the ping-pong ball hit only two pots at the beginning of the video?
409,"How many pots did the ping-pong ball hit at the beginning of the video?
A. Seven
B. Five
C. Two
D. Ten"
410,Which letters need the minimum number of people in the video to make up?
411,Which letters in the video require the fewest people to form?
412,"Do the letters 'I,' 'V,' and 'W' need only one person each to form in the video?"
413,Is the letter 'i' the only one that needs the minimum number of people to form?
414,"Which letters require the minimum number of people to form?
A. W
B. I
C. I', 'L', 'O', and 'V'
D. All of the above"
415,How many men in hats are seen in the video?
416,What is the number of men wearing hats in the video?
417,Are there two men in hats shown in the video?
418,Are there three men in hats shown in the video?
419,"How many men in hats are seen in the video?
A. Three
B. Four
C. One
D. Two"
420,How many legs does the person not in the wheelchair have in the video?
421,What is the number of legs the person not in the wheelchair has in the video?
422,Does the person not in the wheelchair have only one leg?
423,Is it true that the person not in the wheelchair has two legs?
424,"How many legs does the person not in the wheelchair have?
A. One leg
B. Two legs
C. Three legs
D. No legs"
425,"In the second video, how many lighters is the man holding in his hand?"
426,"In the second video, what is the number of lighters the man is holding?"
427,Is the man holding two lighters in his hands in the second video?
428,Is the man holding three lighters in his hands in the second video?
429,"How many lighters is the man holding in the second video?
A. Three
B. Two
C. Four
D. One"
430,Which ball did the man in blue kick in the fifth scene?
431,Which ball did the man in blue choose to kick in the fifth scene?
432,Did the man in blue kick the middle ball in the fifth scene?
433,Did the man in blue kick the top ball in the fifth scene?
434,"Which ball did the man in blue kick in the fifth scene?
A. Bottom ball
B. Top ball
C. Middle ball"
435,How many people in the video that aren't in a car are scared by the masked person?
436,How many individuals outside of a car are frightened by the masked person in the video?
437,Is it true that six people not in a car are scared by the masked person in the video?
438,Is it true that only four people not in a car are scared by the masked person in the video?
439,"How many people not in a car are scared by the masked person in the video?
A. Four
B. Six
C. Five
D. Seven"
440,How many teeth are there in the video?
441,What is the total number of teeth shown throughout the video?
442,Are there consistently 10 teeth visible in the video from start to finish?
443,Does the number of visible teeth decrease to none as the water level rises in the video?
444,"How many teeth are visible throughout the video?
A. 12
B. 8
C. 9
D. 10"
445,What scene is shown as a metaphor of time passage in between the cooking of the bread?
446,What scene in the video symbolizes the passage of time during the bread's cooking process?
447,"Is the scene where the person is sitting under a waterfall, appearing to meditate, used as a metaphor for time passing while the bread cooks?"
448,Is the scene where the person is bathing under a waterfall used as a metaphor for the passage of time during the bread's cooking?
449,"Which scene in the video serves as a metaphor for the passage of time during the bread's cooking?
A. The person cooking over a fire.
B. The person walking through a forest.
C. The person bathing under a waterfall.
D. The person sitting under a waterfall, appearing to meditate."
450,What's the second thing in the video that a man clips with a car window?
